step,train_loss,val_loss,bpc,lr,tokens_seen,tokens_per_sec,peak_vram_gb,elapsed_sec
1,36.318234,9.076865,0.426091,0.00000030,32768,3175.28,2.4532,10.32
2,36.300625,,,0.00000060,65536,6010.83,2.6403,10.90
3,36.266775,,,0.00000090,98304,8546.52,2.6403,11.50
4,36.276011,,,0.00000120,131072,10833.99,2.6403,12.10
5,36.263700,,,0.00000150,163840,12902.52,2.6403,12.70
6,36.217415,,,0.00000180,196608,14787.47,2.6403,13.30
7,36.211329,,,0.00000210,229376,16509.01,2.6403,13.89
8,36.153073,,,0.00000240,262144,18086.85,2.6403,14.49
9,36.108134,,,0.00000270,294912,19543.35,2.6403,15.09
10,36.063151,,,0.00000300,327680,20883.92,2.6403,15.69
11,36.026340,,,0.00000330,360448,22128.38,2.6403,16.29
12,35.947103,,,0.00000360,393216,23283.29,2.6403,16.89
13,35.949903,,,0.00000390,425984,24357.69,2.6403,17.49
14,35.827325,,,0.00000420,458752,25364.18,2.6403,18.09
15,35.768403,,,0.00000450,491520,26301.04,2.6403,18.69
16,35.745282,,,0.00000480,524288,27184.70,2.6403,19.29
17,35.678198,,,0.00000510,557056,28012.34,2.6403,19.89
18,35.543614,,,0.00000540,589824,28790.76,2.6403,20.49
19,35.522769,,,0.00000570,622592,29525.83,2.6403,21.09
20,35.413404,,,0.00000600,655360,30218.16,2.6403,21.69
21,35.323476,,,0.00000630,688128,30875.91,2.6403,22.29
22,35.227909,,,0.00000660,720896,31497.98,2.6403,22.89
23,35.130669,,,0.00000690,753664,32087.01,2.6403,23.49
24,35.110878,,,0.00000720,786432,32649.05,2.6403,24.09
25,35.024223,,,0.00000750,819200,33181.97,2.6403,24.69
26,34.983308,,,0.00000780,851968,33689.36,2.6403,25.29
27,34.827729,,,0.00000810,884736,34175.31,2.6403,25.89
28,34.792319,,,0.00000840,917504,34637.00,2.6403,26.49
29,34.727022,,,0.00000870,950272,35080.73,2.6403,27.09
30,34.621217,,,0.00000900,983040,35502.43,2.6403,27.69
31,34.505411,,,0.00000930,1015808,35906.56,2.6403,28.29
32,34.458209,,,0.00000960,1048576,36293.62,2.6403,28.89
33,34.376716,,,0.00000990,1081344,36664.23,2.6403,29.49
34,34.301006,,,0.00001020,1114112,37020.97,2.6403,30.09
35,34.251761,,,0.00001050,1146880,37363.53,2.6403,30.70
36,34.251915,,,0.00001080,1179648,37692.63,2.6403,31.30
37,34.152631,,,0.00001110,1212416,38007.60,2.6403,31.90
38,33.987854,,,0.00001140,1245184,38311.66,2.6403,32.50
39,33.987089,,,0.00001170,1277952,38605.11,2.6403,33.10
40,33.905552,,,0.00001200,1310720,38886.38,2.6403,33.71
41,33.797270,,,0.00001230,1343488,39159.40,2.6403,34.31
42,33.806822,,,0.00001260,1376256,39422.84,2.6403,34.91
43,33.825124,,,0.00001290,1409024,39677.48,2.6403,35.51
44,33.704911,,,0.00001320,1441792,39922.67,2.6403,36.11
45,33.663196,,,0.00001350,1474560,40160.24,2.6403,36.72
46,33.574962,,,0.00001380,1507328,40389.34,2.6403,37.32
47,33.485318,,,0.00001410,1540096,40611.74,2.6403,37.92
48,33.494916,,,0.00001440,1572864,40826.41,2.6403,38.53
49,33.411619,,,0.00001470,1605632,41033.74,2.6403,39.13
50,33.440791,,,0.00001500,1638400,41236.34,2.6403,39.73
51,33.312689,,,0.00001530,1671168,41432.00,2.6403,40.34
52,33.339965,,,0.00001560,1703936,41622.71,2.6403,40.94
53,33.302901,,,0.00001590,1736704,41806.59,2.6403,41.54
54,33.166945,,,0.00001620,1769472,41985.83,2.6403,42.14
55,33.145178,,,0.00001650,1802240,42159.40,2.6403,42.75
56,33.124848,,,0.00001680,1835008,42328.71,2.6403,43.35
57,33.101625,,,0.00001710,1867776,42492.95,2.6403,43.95
58,33.068994,,,0.00001740,1900544,42653.13,2.6403,44.56
59,32.953301,,,0.00001770,1933312,42808.07,2.6403,45.16
60,32.930201,,,0.00001800,1966080,42959.75,2.6403,45.77
61,32.880439,,,0.00001830,1998848,43106.53,2.6403,46.37
62,32.868157,,,0.00001860,2031616,43250.47,2.6403,46.97
63,32.856778,,,0.00001890,2064384,43390.19,2.6403,47.58
64,32.799994,,,0.00001920,2097152,43526.89,2.6403,48.18
65,32.771145,,,0.00001950,2129920,43659.73,2.6403,48.78
66,32.663766,,,0.00001980,2162688,43789.31,2.6403,49.39
67,32.714443,,,0.00002010,2195456,43916.35,2.6403,49.99
