step,train_loss,val_loss,bpc,lr,tokens_seen,tokens_per_sec,peak_vram_gb,elapsed_sec
1,9.807054,9.807199,4.173281,0.00000030,32768,2906.37,3.2232,11.27
2,9.812846,,,0.00000060,65536,5494.66,3.4425,11.93
3,9.800534,,,0.00000090,98304,7802.01,3.4425,12.60
4,9.800645,,,0.00000120,131072,9876.78,3.4425,13.27
5,9.796036,,,0.00000150,163840,11751.39,3.4425,13.94
6,9.792363,,,0.00000180,196608,13452.97,3.4425,14.61
7,9.792091,,,0.00000210,229376,15006.52,3.4425,15.29
8,9.785249,,,0.00000240,262144,16428.84,3.4425,15.96
9,9.780622,,,0.00000270,294912,17736.27,3.4425,16.63
10,9.776159,,,0.00000300,327680,18941.65,3.4425,17.30
11,9.764160,,,0.00000330,360448,20056.98,3.4425,17.97
12,9.755672,,,0.00000360,393216,21090.59,3.4425,18.64
13,9.743512,,,0.00000390,425984,22051.48,3.4425,19.32
14,9.729683,,,0.00000420,458752,22949.93,3.4425,19.99
15,9.725957,,,0.00000450,491520,23786.34,3.4425,20.66
16,9.706993,,,0.00000480,524288,24571.06,3.4425,21.34
17,9.700190,,,0.00000510,557056,25308.66,3.4425,22.01
18,9.686723,,,0.00000540,589824,26001.36,3.4425,22.68
19,9.674716,,,0.00000570,622592,26653.47,3.4425,23.36
20,9.653332,,,0.00000600,655360,27271.06,3.4425,24.03
21,9.647057,,,0.00000630,688128,27853.82,3.4425,24.70
22,9.628238,,,0.00000660,720896,28404.36,3.4425,25.38
23,9.618742,,,0.00000690,753664,28928.73,3.4425,26.05
24,9.596357,,,0.00000720,786432,29425.03,3.4425,26.73
25,9.583649,,,0.00000750,819200,29896.52,3.4425,27.40
26,9.574470,,,0.00000780,851968,30346.63,3.4425,28.07
27,9.553799,,,0.00000810,884736,30774.29,3.4425,28.75
28,9.535961,,,0.00000840,917504,31182.41,3.4425,29.42
29,9.526703,,,0.00000870,950272,31572.61,3.4425,30.10
30,9.494308,,,0.00000900,983040,31945.88,3.4425,30.77
31,9.498591,,,0.00000930,1015808,32301.33,3.4425,31.45
32,9.465844,,,0.00000960,1048576,32641.47,3.4425,32.12
33,9.449111,,,0.00000990,1081344,32969.70,3.4425,32.80
34,9.431052,,,0.00001020,1114112,33282.87,3.4425,33.47
35,9.418978,,,0.00001050,1146880,33583.92,3.4425,34.15
36,9.396546,,,0.00001080,1179648,33874.00,3.4425,34.82
37,9.388808,,,0.00001110,1212416,34151.78,3.4425,35.50
38,9.375211,,,0.00001140,1245184,34419.11,3.4425,36.18
39,9.366525,,,0.00001170,1277952,34677.70,3.4425,36.85
40,9.339212,,,0.00001200,1310720,34926.47,3.4425,37.53
41,9.347302,,,0.00001230,1343488,35165.93,3.4425,38.20
42,9.295170,,,0.00001260,1376256,35397.63,3.4425,38.88
43,9.310796,,,0.00001290,1409024,35621.71,3.4425,39.56
44,9.289359,,,0.00001320,1441792,35837.45,3.4425,40.23
45,9.273365,,,0.00001350,1474560,36046.22,3.4425,40.91
46,9.278702,,,0.00001380,1507328,36247.81,3.4425,41.58
47,9.240326,,,0.00001410,1540096,36443.23,3.4425,42.26
48,9.248290,,,0.00001440,1572864,36631.74,3.4425,42.94
49,9.234257,,,0.00001470,1605632,36814.82,3.4425,43.61
50,9.222799,,,0.00001500,1638400,36991.90,3.4425,44.29
51,9.212203,,,0.00001530,1671168,37163.16,3.4425,44.97
52,9.202922,,,0.00001560,1703936,37330.34,3.4425,45.64
53,9.198838,,,0.00001590,1736704,37492.34,3.4425,46.32
54,9.172044,,,0.00001620,1769472,37648.18,3.4425,47.00
55,9.183155,,,0.00001650,1802240,37801.23,3.4425,47.68
56,9.183097,,,0.00001680,1835008,37949.28,3.4425,48.35
57,9.159093,,,0.00001710,1867776,38092.91,3.4425,49.03
58,9.132301,,,0.00001740,1900544,38233.59,3.4425,49.71
59,9.119692,,,0.00001770,1933312,38369.38,3.4425,50.39
60,9.123855,,,0.00001800,1966080,38501.08,3.4425,51.07
61,9.116699,,,0.00001830,1998848,38629.85,3.4425,51.74
62,9.117291,,,0.00001860,2031616,38756.54,3.4425,52.42
63,9.096906,,,0.00001890,2064384,38878.12,3.4425,53.10
64,9.095612,,,0.00001920,2097152,38996.77,3.4425,53.78
65,9.120191,,,0.00001950,2129920,39112.36,3.4425,54.46
66,9.093649,,,0.00001980,2162688,39225.46,3.4425,55.13
67,9.064900,,,0.00002010,2195456,39336.10,3.4425,55.81
68,9.073561,,,0.00002040,2228224,39445.02,3.4425,56.49
69,9.059919,,,0.00002070,2260992,39549.03,3.4425,57.17
70,9.044622,,,0.00002100,2293760,39652.79,3.4425,57.85
71,9.032048,,,0.00002130,2326528,39753.58,3.4425,58.52
72,9.041751,,,0.00002160,2359296,39851.90,3.4425,59.20
73,9.015004,,,0.00002190,2392064,39948.20,3.4425,59.88
74,9.008066,,,0.00002220,2424832,40042.24,3.4425,60.56
75,8.992054,,,0.00002250,2457600,40134.01,3.4425,61.23
76,8.977609,,,0.00002280,2490368,40223.08,3.4425,61.91
77,8.991703,,,0.00002310,2523136,40311.64,3.4425,62.59
78,8.973418,,,0.00002340,2555904,40397.28,3.4425,63.27
79,8.964196,,,0.00002370,2588672,40482.05,3.4425,63.95
80,8.963207,,,0.00002400,2621440,40565.17,3.4425,64.62
81,8.962391,,,0.00002430,2654208,40646.09,3.4425,65.30
82,8.937993,,,0.00002460,2686976,40725.15,3.4425,65.98
83,8.950931,,,0.00002490,2719744,40803.67,3.4425,66.65
84,8.925237,,,0.00002520,2752512,40879.41,3.4425,67.33
85,8.917001,,,0.00002550,2785280,40954.30,3.4425,68.01
86,8.899147,,,0.00002580,2818048,41027.88,3.4425,68.69
87,8.891746,,,0.00002610,2850816,41098.70,3.4425,69.37
88,8.898255,,,0.00002640,2883584,41169.09,3.4425,70.04
89,8.883383,,,0.00002670,2916352,41238.61,3.4425,70.72
90,8.852978,,,0.00002700,2949120,41305.67,3.4425,71.40
91,8.859635,,,0.00002730,2981888,41372.20,3.4425,72.07
92,8.817794,,,0.00002760,3014656,41437.83,3.4425,72.75
93,8.829939,,,0.00002790,3047424,41501.35,3.4425,73.43
94,8.840023,,,0.00002820,3080192,41563.73,3.4425,74.11
95,8.805621,,,0.00002850,3112960,41625.80,3.4425,74.78
96,8.823988,,,0.00002880,3145728,41686.09,3.4425,75.46
97,8.777391,,,0.00002910,3178496,41745.26,3.4425,76.14
98,8.793174,,,0.00002940,3211264,41803.96,3.4425,76.82
99,8.765142,,,0.00002970,3244032,41860.65,3.4425,77.50
100,8.776379,,,0.00003000,3276800,41917.30,3.4425,78.17
101,8.769629,,,0.00003030,3309568,41972.74,3.4425,78.85
102,8.755001,,,0.00003060,3342336,42027.69,3.4425,79.53
103,8.755360,,,0.00003090,3375104,42080.91,3.4425,80.21
104,8.737815,,,0.00003120,3407872,42133.69,3.4425,80.88
105,8.715607,,,0.00003150,3440640,42184.84,3.4425,81.56
106,8.715798,,,0.00003180,3473408,42236.19,3.4425,82.24
107,8.717729,,,0.00003210,3506176,42286.33,3.4425,82.92
108,8.700594,,,0.00003240,3538944,42335.77,3.4425,83.59
109,8.676262,,,0.00003270,3571712,42385.00,3.4425,84.27
110,8.667660,,,0.00003300,3604480,42432.46,3.4425,84.95
111,8.657451,,,0.00003330,3637248,42479.57,3.4425,85.62
112,8.656658,,,0.00003360,3670016,42525.66,3.4425,86.30
113,8.638962,,,0.00003390,3702784,42571.90,3.4425,86.98
114,8.655637,,,0.00003420,3735552,42616.82,3.4425,87.65
115,8.615309,,,0.00003450,3768320,42661.05,3.4425,88.33
116,8.616915,,,0.00003480,3801088,42705.23,3.4425,89.01
117,8.615083,,,0.00003510,3833856,42748.01,3.4425,89.69
118,8.608007,,,0.00003540,3866624,42790.67,3.4425,90.36
119,8.587476,,,0.00003570,3899392,42832.83,3.4425,91.04
120,8.579407,,,0.00003600,3932160,42873.98,3.4425,91.71
121,8.589591,,,0.00003630,3964928,42914.14,3.4425,92.39
122,8.532839,,,0.00003660,3997696,42954.54,3.4425,93.07
123,8.533250,,,0.00003690,4030464,42994.25,3.4425,93.74
124,8.550788,,,0.00003720,4063232,43033.34,3.4425,94.42
125,8.554374,,,0.00003750,4096000,43071.77,3.4425,95.10
126,8.483937,,,0.00003780,4128768,43109.84,3.4425,95.77
127,8.497680,,,0.00003810,4161536,43146.67,3.4425,96.45
128,8.487109,,,0.00003840,4194304,43183.39,3.4425,97.13
129,8.479102,,,0.00003870,4227072,43219.71,3.4425,97.80
130,8.488424,,,0.00003900,4259840,43255.73,3.4425,98.48
131,8.463042,,,0.00003930,4292608,43290.47,3.4425,99.16
132,8.449303,,,0.00003960,4325376,43325.82,3.4425,99.83
133,8.477770,,,0.00003990,4358144,43360.19,3.4425,100.51
134,8.444567,,,0.00004020,4390912,43394.19,3.4425,101.19
135,8.418315,,,0.00004050,4423680,43427.74,3.4425,101.86
136,8.414976,,,0.00004080,4456448,43461.37,3.4425,102.54
137,8.421389,,,0.00004110,4489216,43494.09,3.4425,103.21
138,8.365675,,,0.00004140,4521984,43526.41,3.4425,103.89
139,8.406877,,,0.00004170,4554752,43558.72,3.4425,104.57
140,8.366225,,,0.00004200,4587520,43590.09,3.4425,105.24
141,8.395190,,,0.00004230,4620288,43621.13,3.4425,105.92
142,8.411111,,,0.00004260,4653056,43652.18,3.4425,106.59
143,8.378343,,,0.00004290,4685824,43682.73,3.4425,107.27
144,8.374869,,,0.00004320,4718592,43712.33,3.4425,107.95
145,8.304661,,,0.00004350,4751360,43741.86,3.4425,108.62
146,8.330548,,,0.00004380,4784128,43770.78,3.4425,109.30
147,8.315095,,,0.00004410,4816896,43799.18,3.4425,109.98
148,8.324275,,,0.00004440,4849664,43827.83,3.4425,110.65
149,8.310306,,,0.00004470,4882432,43856.31,3.4425,111.33
150,8.336185,,,0.00004500,4915200,43883.64,3.4425,112.01
151,8.299495,,,0.00004530,4947968,43911.37,3.4425,112.68
152,8.278374,,,0.00004560,4980736,43938.28,3.4425,113.36
153,8.255938,,,0.00004590,5013504,43965.34,3.4425,114.03
154,8.249049,,,0.00004620,5046272,43991.36,3.4425,114.71
155,8.285909,,,0.00004650,5079040,44017.77,3.4425,115.39
156,8.283669,,,0.00004680,5111808,44044.16,3.4425,116.06
157,8.274352,,,0.00004710,5144576,44069.93,3.4425,116.74
158,8.220733,,,0.00004740,5177344,44095.44,3.4425,117.41
159,8.270058,,,0.00004770,5210112,44120.64,3.4425,118.09
160,8.236558,,,0.00004800,5242880,44145.79,3.4425,118.76
161,8.230122,,,0.00004830,5275648,44170.05,3.4425,119.44
162,8.232017,,,0.00004860,5308416,44194.31,3.4425,120.12
163,8.150879,,,0.00004890,5341184,44218.39,3.4425,120.79
164,8.186695,,,0.00004920,5373952,44242.15,3.4425,121.47
165,8.203792,,,0.00004950,5406720,44265.24,3.4425,122.14
166,8.207036,,,0.00004980,5439488,44288.68,3.4425,122.82
167,8.196488,,,0.00005010,5472256,44311.21,3.4425,123.50
168,8.187780,,,0.00005040,5505024,44333.40,3.4425,124.17
169,8.222262,,,0.00005070,5537792,44356.00,3.4425,124.85
170,8.198032,,,0.00005100,5570560,44378.35,3.4425,125.52
171,8.133024,,,0.00005130,5603328,44400.04,3.4425,126.20
172,8.147974,,,0.00005160,5636096,44421.74,3.4425,126.88
173,8.211964,,,0.00005190,5668864,44443.02,3.4425,127.55
174,8.174017,,,0.00005220,5701632,44464.25,3.4425,128.23
175,8.208490,,,0.00005250,5734400,44485.21,3.4425,128.91
176,8.148452,,,0.00005280,5767168,44505.67,3.4425,129.58
177,8.177502,,,0.00005310,5799936,44526.67,3.4425,130.26
178,8.116516,,,0.00005340,5832704,44547.02,3.4425,130.93
179,8.086761,,,0.00005370,5865472,44566.98,3.4425,131.61
180,8.117913,,,0.00005400,5898240,44587.08,3.4425,132.29
181,8.146090,,,0.00005430,5931008,44606.85,3.4425,132.96
182,8.104016,,,0.00005460,5963776,44625.57,3.4425,133.64
183,8.150335,,,0.00005490,5996544,44644.93,3.4425,134.32
184,8.136078,,,0.00005520,6029312,44664.18,3.4425,134.99
185,8.138645,,,0.00005550,6062080,44682.81,3.4425,135.67
186,8.129298,,,0.00005580,6094848,44701.42,3.4425,136.35
187,8.102072,,,0.00005610,6127616,44720.16,3.4425,137.02
188,8.129945,,,0.00005640,6160384,44738.23,3.4425,137.70
189,8.185589,,,0.00005670,6193152,44756.28,3.4425,138.38
190,8.095742,,,0.00005700,6225920,44774.34,3.4425,139.05
191,8.205440,,,0.00005730,6258688,44791.91,3.4425,139.73
192,8.114056,,,0.00005760,6291456,44808.72,3.4425,140.41
193,8.117442,,,0.00005790,6324224,44826.09,3.4425,141.08
194,8.104473,,,0.00005820,6356992,44842.47,3.4425,141.76
195,8.135367,,,0.00005850,6389760,44859.10,3.4425,142.44
196,8.070629,,,0.00005880,6422528,44875.76,3.4425,143.12
197,8.129327,,,0.00005910,6455296,44892.73,3.4425,143.79
198,8.029860,,,0.00005940,6488064,44909.15,3.4425,144.47
199,8.074508,,,0.00005970,6520832,44925.28,3.4425,145.15
200,8.057735,,,0.00006000,6553600,44941.10,3.4425,145.83
201,8.165324,,,0.00006030,6586368,44955.56,3.4425,146.51
202,8.118044,,,0.00006060,6619136,44965.23,3.4425,147.21
203,7.936880,,,0.00006090,6651904,44977.06,3.4425,147.90
204,8.073315,,,0.00006120,6684672,44986.93,3.4425,148.59
205,8.044982,,,0.00006150,6717440,45000.43,3.4425,149.28
206,7.990259,,,0.00006180,6750208,45015.74,3.4425,149.95
207,8.103787,,,0.00006210,6782976,45028.62,3.4425,150.64
208,7.976630,,,0.00006240,6815744,45043.95,3.4425,151.31
209,8.014667,,,0.00006270,6848512,45054.81,3.4425,152.00
210,8.071593,,,0.00006300,6881280,45065.96,3.4425,152.69
211,7.950416,,,0.00006330,6914048,45075.10,3.4425,153.39
212,7.947744,,,0.00006360,6946816,45089.60,3.4425,154.07
213,7.910286,,,0.00006390,6979584,45102.11,3.4425,154.75
214,7.989528,,,0.00006420,7012352,45114.40,3.4425,155.43
215,7.959794,,,0.00006450,7045120,45124.70,3.4425,156.13
216,8.029957,,,0.00006480,7077888,45135.58,3.4425,156.81
217,7.938162,,,0.00006510,7110656,45145.77,3.4425,157.50
218,8.080894,,,0.00006540,7143424,45155.26,3.4425,158.20
219,8.057884,,,0.00006570,7176192,45168.94,3.4425,158.87
220,7.956476,,,0.00006600,7208960,45180.41,3.4425,159.56
221,7.998168,,,0.00006630,7241728,45193.76,3.4425,160.24
222,7.957291,,,0.00006660,7274496,45207.44,3.4425,160.91
223,7.916944,,,0.00006690,7307264,45217.16,3.4425,161.60
224,8.010426,,,0.00006720,7340032,45228.56,3.4425,162.29
225,8.041811,,,0.00006750,7372800,45240.14,3.4425,162.97
226,7.871716,,,0.00006780,7405568,45252.81,3.4425,163.65
227,8.025307,,,0.00006810,7438336,45262.42,3.4425,164.34
228,7.993485,,,0.00006840,7471104,45273.57,3.4425,165.02
229,7.914665,,,0.00006870,7503872,45282.40,3.4425,165.71
230,8.055027,,,0.00006900,7536640,45293.05,3.4425,166.40
231,7.951734,,,0.00006930,7569408,45303.84,3.4425,167.08
232,8.018499,,,0.00006960,7602176,45312.37,3.4425,167.77
233,7.972112,,,0.00006990,7634944,45321.45,3.4425,168.46
234,7.959666,,,0.00007020,7667712,45328.82,3.4425,169.16
235,7.921730,,,0.00007050,7700480,45339.25,3.4425,169.84
236,8.006969,,,0.00007080,7733248,45349.26,3.4425,170.53
237,7.996201,,,0.00007110,7766016,45358.09,3.4425,171.22
238,7.952129,,,0.00007140,7798784,45368.03,3.4425,171.90
239,7.800546,,,0.00007170,7831552,45379.87,3.4425,172.58
240,7.899596,,,0.00007200,7864320,45388.16,3.4425,173.27
241,7.914538,,,0.00007230,7897088,45396.46,3.4425,173.96
242,7.879133,,,0.00007260,7929856,45407.49,3.4425,174.64
243,7.770931,,,0.00007290,7962624,45417.49,3.4425,175.32
244,7.816221,,,0.00007320,7995392,45427.38,3.4425,176.00
245,7.828351,,,0.00007350,8028160,45438.21,3.4425,176.68
246,8.025970,,,0.00007380,8060928,45447.65,3.4425,177.37
247,7.999996,,,0.00007410,8093696,45454.25,3.4425,178.06
248,8.021763,,,0.00007440,8126464,45463.41,3.4425,178.75
249,7.943580,,,0.00007470,8159232,45470.98,3.4425,179.44
250,7.996851,,,0.00007500,8192000,45478.49,3.4425,180.13
251,7.804220,,,0.00007530,8224768,45485.91,3.4425,180.82
252,8.000172,,,0.00007560,8257536,45494.63,3.4425,181.51
253,7.733705,,,0.00007590,8290304,45503.28,3.4425,182.19
254,7.909771,,,0.00007620,8323072,45512.50,3.4425,182.87
255,7.937979,,,0.00007650,8355840,45522.53,3.4425,183.55
256,7.831761,,,0.00007680,8388608,45531.12,3.4425,184.24
257,7.775687,,,0.00007710,8421376,45539.81,3.4425,184.92
258,7.813286,,,0.00007740,8454144,45547.00,3.4425,185.61
259,7.789999,,,0.00007770,8486912,45553.58,3.4425,186.31
260,7.752560,,,0.00007800,8519680,45560.40,3.4425,187.00
261,7.812322,,,0.00007830,8552448,45570.02,3.4425,187.68
262,7.949802,,,0.00007860,8585216,45579.78,3.4425,188.36
263,7.865042,,,0.00007890,8617984,45589.36,3.4425,189.03
264,7.906868,,,0.00007920,8650752,45597.59,3.4425,189.72
265,7.803829,,,0.00007950,8683520,45603.82,3.4425,190.41
266,7.724174,,,0.00007980,8716288,45610.26,3.4425,191.10
267,7.764154,,,0.00008010,8749056,45618.26,3.4425,191.79
268,7.812898,,,0.00008040,8781824,45622.81,3.4425,192.49
269,7.712594,,,0.00008070,8814592,45630.65,3.4425,193.17
270,7.921299,,,0.00008100,8847360,45638.53,3.4425,193.86
271,7.848376,,,0.00008130,8880128,45645.94,3.4425,194.54
