step,train_loss,val_loss,bpc,lr,tokens_seen,tokens_per_sec,peak_vram_gb,elapsed_sec
1,5.362106,5.348405,9.317241,0.00000030,32768,12535.70,0.5895,2.61
2,5.347682,,,0.00000060,65536,21616.19,0.7446,3.03
3,5.337270,,,0.00000090,98304,28369.72,0.7446,3.47
4,5.310612,,,0.00000120,131072,33547.39,0.7446,3.91
5,5.274966,,,0.00000150,163840,37734.35,0.7446,4.34
6,5.241034,,,0.00000180,196608,41117.11,0.7446,4.78
7,5.180909,,,0.00000210,229376,43954.02,0.7446,5.22
8,5.125725,,,0.00000240,262144,46358.87,0.7446,5.65
9,5.063699,,,0.00000270,294912,48394.71,0.7446,6.09
10,5.016870,,,0.00000300,327680,50184.15,0.7446,6.53
11,4.938476,,,0.00000330,360448,51725.19,0.7446,6.97
12,4.881732,,,0.00000360,393216,53106.22,0.7446,7.40
13,4.798359,,,0.00000390,425984,54311.70,0.7446,7.84
14,4.711523,,,0.00000420,458752,55401.95,0.7446,8.28
15,4.638804,,,0.00000450,491520,56375.60,0.7446,8.72
16,4.557048,,,0.00000480,524288,57253.60,0.7446,9.16
17,4.504712,,,0.00000510,557056,58056.07,0.7446,9.60
18,4.441115,,,0.00000540,589824,58779.31,0.7446,10.03
19,4.366333,,,0.00000570,622592,59451.51,0.7446,10.47
20,4.328844,,,0.00000600,655360,60065.20,0.7446,10.91
21,4.267810,,,0.00000630,688128,60633.98,0.7446,11.35
22,4.228238,,,0.00000660,720896,61160.15,0.7446,11.79
23,4.165013,,,0.00000690,753664,61649.54,0.7446,12.22
24,4.135107,,,0.00000720,786432,62104.39,0.7446,12.66
25,4.079937,,,0.00000750,819200,62526.31,0.7446,13.10
26,4.053765,,,0.00000780,851968,62922.68,0.7446,13.54
27,4.012437,,,0.00000810,884736,63294.16,0.7446,13.98
28,3.978569,,,0.00000840,917504,63644.37,0.7446,14.42
29,3.943047,,,0.00000870,950272,63967.64,0.7446,14.86
30,3.898594,,,0.00000900,983040,64278.43,0.7446,15.29
31,3.870542,,,0.00000930,1015808,64567.20,0.7446,15.73
32,3.839261,,,0.00000960,1048576,64838.30,0.7446,16.17
33,3.799554,,,0.00000990,1081344,65095.50,0.7446,16.61
34,3.781708,,,0.00001020,1114112,65337.97,0.7446,17.05
35,3.757203,,,0.00001050,1146880,65574.87,0.7446,17.49
36,3.737492,,,0.00001080,1179648,65793.36,0.7446,17.93
37,3.725302,,,0.00001110,1212416,66005.52,0.7446,18.37
38,3.710080,,,0.00001140,1245184,66207.57,0.7446,18.81
39,3.667171,,,0.00001170,1277952,66397.74,0.7446,19.25
40,3.655532,,,0.00001200,1310720,66583.77,0.7446,19.69
41,3.637760,,,0.00001230,1343488,66754.29,0.7446,20.13
42,3.610083,,,0.00001260,1376256,66920.18,0.7446,20.57
43,3.604092,,,0.00001290,1409024,67081.28,0.7446,21.00
44,3.617682,,,0.00001320,1441792,67230.00,0.7446,21.45
45,3.576409,,,0.00001350,1474560,67381.59,0.7446,21.88
46,3.549457,,,0.00001380,1507328,67520.17,0.7446,22.32
47,3.547416,,,0.00001410,1540096,67657.59,0.7446,22.76
48,3.524438,,,0.00001440,1572864,67787.32,0.7446,23.20
49,3.512733,,,0.00001470,1605632,67911.74,0.7446,23.64
50,3.515702,,,0.00001500,1638400,68033.16,0.7446,24.08
51,3.499211,,,0.00001530,1671168,68148.59,0.7446,24.52
52,3.489647,,,0.00001560,1703936,68258.66,0.7446,24.96
53,3.471097,,,0.00001590,1736704,68365.47,0.7446,25.40
54,3.454746,,,0.00001620,1769472,68469.86,0.7446,25.84
55,3.437172,,,0.00001650,1802240,68569.84,0.7446,26.28
56,3.432391,,,0.00001680,1835008,68664.25,0.7446,26.72
57,3.437405,,,0.00001710,1867776,68757.90,0.7446,27.16
58,3.417356,,,0.00001740,1900544,68847.45,0.7446,27.61
59,3.406471,,,0.00001770,1933312,68932.48,0.7446,28.05
60,3.383871,,,0.00001800,1966080,69017.26,0.7446,28.49
61,3.377985,,,0.00001830,1998848,69098.72,0.7446,28.93
62,3.385491,,,0.00001860,2031616,69176.90,0.7446,29.37
63,3.362017,,,0.00001890,2064384,69250.99,0.7446,29.81
64,3.370532,,,0.00001920,2097152,69320.07,0.7446,30.25
