step,train_loss,val_loss,bpc,lr,tokens_seen,tokens_per_sec,peak_vram_gb,elapsed_sec
1,9.814809,9.818913,4.968368,0.00000030,32768,5568.11,1.7407,5.88
2,9.821497,,,0.00000060,65536,10097.85,1.9561,6.49
3,9.815001,,,0.00000090,98304,13811.60,1.9561,7.12
4,9.817974,,,0.00000120,131072,16934.89,1.9561,7.74
5,9.805819,,,0.00000150,163840,19581.71,1.9561,8.37
6,9.803956,,,0.00000180,196608,21860.88,1.9561,8.99
7,9.788407,,,0.00000210,229376,23850.13,1.9561,9.62
8,9.783361,,,0.00000240,262144,25587.13,1.9561,10.25
9,9.771070,,,0.00000270,294912,27130.12,1.9561,10.87
10,9.764544,,,0.00000300,327680,28503.53,1.9561,11.50
11,9.754447,,,0.00000330,360448,29731.39,1.9561,12.12
12,9.746773,,,0.00000360,393216,30841.76,1.9561,12.75
13,9.730851,,,0.00000390,425984,31847.56,1.9561,13.38
14,9.717246,,,0.00000420,458752,32762.62,1.9561,14.00
15,9.709270,,,0.00000450,491520,33600.13,1.9561,14.63
16,9.686520,,,0.00000480,524288,34368.16,1.9561,15.26
17,9.661777,,,0.00000510,557056,35074.07,1.9561,15.88
18,9.647090,,,0.00000540,589824,35726.25,1.9561,16.51
19,9.627538,,,0.00000570,622592,36332.47,1.9561,17.14
20,9.616492,,,0.00000600,655360,36891.67,1.9561,17.76
21,9.581902,,,0.00000630,688128,37414.88,1.9561,18.39
22,9.574953,,,0.00000660,720896,37902.47,1.9561,19.02
23,9.550296,,,0.00000690,753664,38358.40,1.9561,19.65
24,9.524901,,,0.00000720,786432,38789.60,1.9561,20.27
25,9.494350,,,0.00000750,819200,39191.96,1.9561,20.90
26,9.471501,,,0.00000780,851968,39568.97,1.9561,21.53
27,9.461303,,,0.00000810,884736,39926.68,1.9561,22.16
28,9.435062,,,0.00000840,917504,40262.84,1.9561,22.79
29,9.411950,,,0.00000870,950272,40583.25,1.9561,23.42
30,9.396345,,,0.00000900,983040,40885.56,1.9561,24.04
31,9.372166,,,0.00000930,1015808,41171.56,1.9561,24.67
32,9.350116,,,0.00000960,1048576,41444.58,1.9561,25.30
33,9.332756,,,0.00000990,1081344,41704.12,1.9561,25.93
34,9.312473,,,0.00001020,1114112,41950.53,1.9561,26.56
35,9.281048,,,0.00001050,1146880,42185.24,1.9561,27.19
36,9.267805,,,0.00001080,1179648,42409.25,1.9561,27.82
37,9.243713,,,0.00001110,1212416,42623.65,1.9561,28.44
38,9.246272,,,0.00001140,1245184,42830.33,1.9561,29.07
39,9.212662,,,0.00001170,1277952,43026.66,1.9561,29.70
40,9.192085,,,0.00001200,1310720,43214.64,1.9561,30.33
41,9.183216,,,0.00001230,1343488,43393.70,1.9561,30.96
42,9.164622,,,0.00001260,1376256,43567.94,1.9561,31.59
43,9.160531,,,0.00001290,1409024,43733.52,1.9561,32.22
44,9.134875,,,0.00001320,1441792,43892.66,1.9561,32.85
45,9.105216,,,0.00001350,1474560,44046.62,1.9561,33.48
46,9.106518,,,0.00001380,1507328,44194.29,1.9561,34.11
47,9.085423,,,0.00001410,1540096,44338.60,1.9561,34.73
48,9.072687,,,0.00001440,1572864,44475.24,1.9561,35.36
49,9.057903,,,0.00001470,1605632,44608.56,1.9561,35.99
50,9.052514,,,0.00001500,1638400,44736.04,1.9561,36.62
51,9.033673,,,0.00001530,1671168,44859.94,1.9561,37.25
52,9.007815,,,0.00001560,1703936,44978.92,1.9561,37.88
53,9.002280,,,0.00001590,1736704,45094.42,1.9561,38.51
54,8.996427,,,0.00001620,1769472,45205.85,1.9561,39.14
55,8.985564,,,0.00001650,1802240,45313.78,1.9561,39.77
56,8.982248,,,0.00001680,1835008,45416.87,1.9561,40.40
57,8.947565,,,0.00001710,1867776,45519.40,1.9561,41.03
58,8.947105,,,0.00001740,1900544,45616.68,1.9561,41.66
59,8.949595,,,0.00001770,1933312,45712.39,1.9561,42.29
60,8.909601,,,0.00001800,1966080,45804.57,1.9561,42.92
61,8.901864,,,0.00001830,1998848,45894.16,1.9561,43.55
62,8.903603,,,0.00001860,2031616,45980.60,1.9561,44.18
63,8.890105,,,0.00001890,2064384,46064.95,1.9561,44.81
64,8.880112,,,0.00001920,2097152,46146.91,1.9561,45.45
65,8.863798,,,0.00001950,2129920,46226.61,1.9561,46.08
66,8.833323,,,0.00001980,2162688,46303.81,1.9561,46.71
67,8.836232,,,0.00002010,2195456,46379.69,1.9561,47.34
68,8.827671,,,0.00002040,2228224,46453.23,1.9561,47.97
69,8.802173,,,0.00002070,2260992,46524.27,1.9561,48.60
70,8.815614,,,0.00002100,2293760,46594.57,1.9561,49.23
71,8.810175,,,0.00002130,2326528,46661.59,1.9561,49.86
72,8.811309,,,0.00002160,2359296,46729.04,1.9561,50.49
73,8.761580,,,0.00002190,2392064,46793.62,1.9561,51.12
74,8.769982,,,0.00002220,2424832,46856.28,1.9561,51.75
75,8.775842,,,0.00002250,2457600,46917.90,1.9561,52.38
76,8.746616,,,0.00002280,2490368,46977.80,1.9561,53.01
77,8.750734,,,0.00002310,2523136,47036.30,1.9561,53.64
78,8.695728,,,0.00002340,2555904,47093.59,1.9561,54.27
79,8.718750,,,0.00002370,2588672,47149.06,1.9561,54.90
80,8.701145,,,0.00002400,2621440,47204.02,1.9561,55.53
81,8.683453,,,0.00002430,2654208,47257.60,1.9561,56.16
82,8.689988,,,0.00002460,2686976,47309.34,1.9561,56.80
83,8.669366,,,0.00002490,2719744,47361.03,1.9561,57.43
84,8.653120,,,0.00002520,2752512,47410.40,1.9561,58.06
85,8.651869,,,0.00002550,2785280,47459.64,1.9561,58.69
86,8.631697,,,0.00002580,2818048,47507.02,1.9561,59.32
87,8.633637,,,0.00002610,2850816,47553.57,1.9561,59.95
88,8.621418,,,0.00002640,2883584,47598.75,1.9561,60.58
89,8.591996,,,0.00002670,2916352,47643.45,1.9561,61.21
90,8.588832,,,0.00002700,2949120,47687.92,1.9561,61.84
91,8.554914,,,0.00002730,2981888,47730.35,1.9561,62.47
92,8.565950,,,0.00002760,3014656,47771.88,1.9561,63.11
93,8.543604,,,0.00002790,3047424,47812.77,1.9561,63.74
94,8.538330,,,0.00002820,3080192,47853.35,1.9561,64.37
95,8.526128,,,0.00002850,3112960,47892.41,1.9561,65.00
96,8.488552,,,0.00002880,3145728,47930.92,1.9561,65.63
97,8.471573,,,0.00002910,3178496,47968.04,1.9561,66.26
98,8.486050,,,0.00002940,3211264,48005.52,1.9561,66.89
99,8.480789,,,0.00002970,3244032,48041.54,1.9561,67.53
100,8.462777,,,0.00003000,3276800,48076.90,1.9561,68.16
101,8.432158,,,0.00003030,3309568,48112.32,1.9561,68.79
102,8.441468,,,0.00003060,3342336,48146.32,1.9561,69.42
103,8.379903,,,0.00003090,3375104,48179.92,1.9561,70.05
104,8.388055,,,0.00003120,3407872,48213.26,1.9561,70.68
105,8.395896,,,0.00003150,3440640,48244.90,1.9561,71.32
106,8.353137,,,0.00003180,3473408,48277.52,1.9561,71.95
107,8.357291,,,0.00003210,3506176,48308.45,1.9561,72.58
108,8.323141,,,0.00003240,3538944,48338.88,1.9561,73.21
109,8.323488,,,0.00003270,3571712,48369.51,1.9561,73.84
110,8.320314,,,0.00003300,3604480,48398.19,1.9561,74.48
111,8.269484,,,0.00003330,3637248,48427.18,1.9561,75.11
112,8.259019,,,0.00003360,3670016,48456.08,1.9561,75.74
113,8.262466,,,0.00003390,3702784,48483.35,1.9561,76.37
114,8.253006,,,0.00003420,3735552,48511.47,1.9561,77.00
115,8.254997,,,0.00003450,3768320,48538.21,1.9561,77.64
116,8.250233,,,0.00003480,3801088,48564.21,1.9561,78.27
117,8.174110,,,0.00003510,3833856,48590.95,1.9561,78.90
118,8.164730,,,0.00003540,3866624,48616.29,1.9561,79.53
119,8.170684,,,0.00003570,3899392,48641.21,1.9561,80.17
120,8.149358,,,0.00003600,3932160,48666.45,1.9561,80.80
121,8.173208,,,0.00003630,3964928,48690.75,1.9561,81.43
122,8.148254,,,0.00003660,3997696,48714.97,1.9561,82.06
123,8.125311,,,0.00003690,4030464,48738.10,1.9561,82.70
124,8.099748,,,0.00003720,4063232,48761.09,1.9561,83.33
125,8.095235,,,0.00003750,4096000,48784.21,1.9561,83.96
126,8.084170,,,0.00003780,4128768,48806.87,1.9561,84.59
127,8.061899,,,0.00003810,4161536,48829.05,1.9561,85.23
128,8.025246,,,0.00003840,4194304,48851.19,1.9561,85.86
129,8.019865,,,0.00003870,4227072,48872.92,1.9561,86.49
130,8.031263,,,0.00003900,4259840,48893.79,1.9561,87.12
131,7.997088,,,0.00003930,4292608,48914.82,1.9561,87.76
132,8.005046,,,0.00003960,4325376,48934.91,1.9561,88.39
133,7.952145,,,0.00003990,4358144,48955.15,1.9561,89.02
134,7.941352,,,0.00004020,4390912,48975.21,1.9561,89.66
135,7.929419,,,0.00004050,4423680,48994.96,1.9561,90.29
136,7.879137,,,0.00004080,4456448,49014.22,1.9561,90.92
137,7.914364,,,0.00004110,4489216,49033.46,1.9561,91.55
138,7.886774,,,0.00004140,4521984,49052.49,1.9561,92.19
139,7.864431,,,0.00004170,4554752,49070.72,1.9561,92.82
140,7.835169,,,0.00004200,4587520,49088.96,1.9561,93.45
141,7.845248,,,0.00004230,4620288,49107.00,1.9561,94.09
142,7.821267,,,0.00004260,4653056,49124.84,1.9561,94.72
143,7.800298,,,0.00004290,4685824,49142.66,1.9561,95.35
144,7.776784,,,0.00004320,4718592,49159.69,1.9561,95.98
145,7.770802,,,0.00004350,4751360,49176.29,1.9561,96.62
146,7.812211,,,0.00004380,4784128,49193.58,1.9561,97.25
147,7.736251,,,0.00004410,4816896,49209.64,1.9561,97.89
148,7.722142,,,0.00004440,4849664,49226.06,1.9561,98.52
149,7.714861,,,0.00004470,4882432,49241.89,1.9561,99.15
150,7.736472,,,0.00004500,4915200,49257.32,1.9561,99.79
151,7.706708,,,0.00004530,4947968,49273.92,1.9561,100.42
152,7.726779,,,0.00004560,4980736,49289.37,1.9561,101.05
153,7.668897,,,0.00004590,5013504,49304.29,1.9561,101.68
154,7.707996,,,0.00004620,5046272,49319.42,1.9561,102.32
155,7.702628,,,0.00004650,5079040,49334.10,1.9561,102.95
156,7.632391,,,0.00004680,5111808,49348.51,1.9561,103.59
157,7.629422,,,0.00004710,5144576,49363.12,1.9561,104.22
158,7.639263,,,0.00004740,5177344,49377.34,1.9561,104.85
159,7.585445,,,0.00004770,5210112,49391.51,1.9561,105.49
160,7.586295,,,0.00004800,5242880,49405.19,1.9561,106.12
161,7.608351,,,0.00004830,5275648,49419.05,1.9561,106.75
162,7.539347,,,0.00004860,5308416,49432.63,1.9561,107.39
163,7.540338,,,0.00004890,5341184,49445.78,1.9561,108.02
164,7.482364,,,0.00004920,5373952,49459.30,1.9561,108.65
165,7.560438,,,0.00004950,5406720,49472.22,1.9561,109.29
166,7.522518,,,0.00004980,5439488,49484.72,1.9561,109.92
167,7.482152,,,0.00005010,5472256,49497.90,1.9561,110.56
168,7.539834,,,0.00005040,5505024,49510.23,1.9561,111.19
169,7.448879,,,0.00005070,5537792,49522.34,1.9561,111.82
170,7.501805,,,0.00005100,5570560,49535.13,1.9561,112.46
171,7.447694,,,0.00005130,5603328,49547.34,1.9561,113.09
172,7.468782,,,0.00005160,5636096,49559.06,1.9561,113.72
173,7.436673,,,0.00005190,5668864,49570.44,1.9561,114.36
174,7.461224,,,0.00005220,5701632,49582.18,1.9561,114.99
175,7.439952,,,0.00005250,5734400,49593.66,1.9561,115.63
176,7.454905,,,0.00005280,5767168,49604.97,1.9561,116.26
177,7.386365,,,0.00005310,5799936,49616.40,1.9561,116.90
178,7.426028,,,0.00005340,5832704,49627.59,1.9561,117.53
179,7.419414,,,0.00005370,5865472,49638.65,1.9561,118.16
180,7.373713,,,0.00005400,5898240,49649.56,1.9561,118.80
181,7.417782,,,0.00005430,5931008,49660.95,1.9561,119.43
182,7.410243,,,0.00005460,5963776,49671.40,1.9561,120.06
183,7.355068,,,0.00005490,5996544,49681.43,1.9561,120.70
184,7.357733,,,0.00005520,6029312,49692.16,1.9561,121.33
185,7.362565,,,0.00005550,6062080,49702.46,1.9561,121.97
186,7.304490,,,0.00005580,6094848,49712.39,1.9561,122.60
187,7.334508,,,0.00005610,6127616,49722.13,1.9561,123.24
188,7.319794,,,0.00005640,6160384,49732.12,1.9561,123.87
189,7.318396,,,0.00005670,6193152,49741.95,1.9561,124.51
190,7.369248,,,0.00005700,6225920,49751.77,1.9561,125.14
191,7.310170,,,0.00005730,6258688,49761.24,1.9561,125.77
192,7.243935,,,0.00005760,6291456,49771.15,1.9561,126.41
193,7.297581,,,0.00005790,6324224,49780.51,1.9561,127.04
194,7.254604,,,0.00005820,6356992,49789.43,1.9561,127.68
195,7.325721,,,0.00005850,6389760,49798.81,1.9561,128.31
196,7.194041,,,0.00005880,6422528,49807.91,1.9561,128.95
197,7.292157,,,0.00005910,6455296,49816.68,1.9561,129.58
198,7.257798,,,0.00005940,6488064,49825.53,1.9561,130.22
199,7.284892,,,0.00005970,6520832,49834.40,1.9561,130.85
200,7.281612,,,0.00006000,6553600,49843.23,1.9561,131.48
201,7.308111,,,0.00006030,6586368,49851.69,1.9561,132.12
202,7.200033,,,0.00006060,6619136,49859.98,1.9561,132.75
203,7.187399,,,0.00006090,6651904,49868.52,1.9561,133.39
204,7.145489,,,0.00006120,6684672,49877.35,1.9561,134.02
205,7.125682,,,0.00006150,6717440,49885.17,1.9561,134.66
206,7.215762,,,0.00006180,6750208,49892.99,1.9561,135.29
207,7.166146,,,0.00006210,6782976,49901.61,1.9561,135.93
208,7.213132,,,0.00006240,6815744,49909.36,1.9561,136.56
209,7.179116,,,0.00006270,6848512,49917.38,1.9561,137.20
210,7.059005,,,0.00006300,6881280,49925.26,1.9561,137.83
211,7.179451,,,0.00006330,6914048,49932.71,1.9561,138.47
212,7.170712,,,0.00006360,6946816,49940.68,1.9561,139.10
213,7.183573,,,0.00006390,6979584,49948.27,1.9561,139.74
214,7.188563,,,0.00006420,7012352,49955.57,1.9561,140.37
215,7.193848,,,0.00006450,7045120,49963.43,1.9561,141.01
216,7.035440,,,0.00006480,7077888,49970.82,1.9561,141.64
217,7.060235,,,0.00006510,7110656,49977.76,1.9561,142.28
218,7.101832,,,0.00006540,7143424,49985.09,1.9561,142.91
219,7.175527,,,0.00006570,7176192,49992.22,1.9561,143.55
220,7.170087,,,0.00006600,7208960,49999.39,1.9561,144.18
221,7.061064,,,0.00006630,7241728,50006.19,1.9561,144.82
222,7.116620,,,0.00006660,7274496,50013.11,1.9561,145.45
223,7.113597,,,0.00006690,7307264,50020.39,1.9561,146.09
224,7.169669,,,0.00006720,7340032,50027.20,1.9561,146.72
225,7.114955,,,0.00006750,7372800,50033.69,1.9561,147.36
226,7.117773,,,0.00006780,7405568,50040.44,1.9561,147.99
227,7.050115,,,0.00006810,7438336,50047.03,1.9561,148.63
228,7.037518,,,0.00006840,7471104,50053.63,1.9561,149.26
229,7.128560,,,0.00006870,7503872,50060.12,1.9561,149.90
230,7.052839,,,0.00006900,7536640,50066.60,1.9561,150.53
231,7.127521,,,0.00006930,7569408,50072.93,1.9561,151.17
232,7.078815,,,0.00006960,7602176,50079.25,1.9561,151.80
233,7.092661,,,0.00006990,7634944,50085.46,1.9561,152.44
234,7.030861,,,0.00007020,7667712,50091.88,1.9561,153.07
235,6.973572,,,0.00007050,7700480,50097.76,1.9561,153.71
236,7.040490,,,0.00007080,7733248,50103.91,1.9561,154.34
237,6.945558,,,0.00007110,7766016,50109.93,1.9561,154.98
238,6.997482,,,0.00007140,7798784,50116.00,1.9561,155.61
239,6.911240,,,0.00007170,7831552,50121.62,1.9561,156.25
240,7.097209,,,0.00007200,7864320,50127.64,1.9561,156.89
241,6.887654,,,0.00007230,7897088,50133.35,1.9561,157.52
242,7.058544,,,0.00007260,7929856,50138.90,1.9561,158.16
243,6.937048,,,0.00007290,7962624,50144.56,1.9561,158.79
244,6.998131,,,0.00007320,7995392,50149.95,1.9561,159.43
245,7.015416,,,0.00007350,8028160,50155.34,1.9561,160.07
246,7.030019,,,0.00007380,8060928,50161.00,1.9561,160.70
247,6.919828,,,0.00007410,8093696,50166.49,1.9561,161.34
248,6.799170,,,0.00007440,8126464,50171.66,1.9561,161.97
249,7.012783,,,0.00007470,8159232,50177.19,1.9561,162.61
250,6.954995,,,0.00007500,8192000,50182.51,1.9561,163.24
251,6.913478,,,0.00007530,8224768,50187.55,1.9561,163.88
252,6.986019,,,0.00007560,8257536,50193.05,1.9561,164.52
253,6.900240,,,0.00007590,8290304,50197.89,1.9561,165.15
254,6.954583,,,0.00007620,8323072,50202.99,1.9561,165.79
255,6.932792,,,0.00007650,8355840,50207.84,1.9561,166.42
256,6.857307,,,0.00007680,8388608,50212.66,1.9561,167.06
257,6.910931,,,0.00007710,8421376,50217.86,1.9561,167.70
258,7.064883,,,0.00007740,8454144,50222.38,1.9561,168.33
259,6.867290,,,0.00007770,8486912,50227.07,1.9561,168.97
260,6.915905,,,0.00007800,8519680,50232.10,1.9561,169.61
261,6.798902,,,0.00007830,8552448,50236.97,1.9561,170.24
262,6.910255,,,0.00007860,8585216,50241.79,1.9561,170.88
263,6.757728,,,0.00007890,8617984,50246.71,1.9561,171.51
264,6.763486,,,0.00007920,8650752,50251.33,1.9561,172.15
265,6.819438,,,0.00007950,8683520,50255.88,1.9561,172.79
266,6.938038,,,0.00007980,8716288,50260.27,1.9561,173.42
267,6.869964,,,0.00008010,8749056,50264.80,1.9561,174.06
268,6.811581,,,0.00008040,8781824,50269.19,1.9561,174.70
269,6.895835,,,0.00008070,8814592,50273.67,1.9561,175.33
270,6.882232,,,0.00008100,8847360,50278.10,1.9561,175.97
271,6.889079,,,0.00008130,8880128,50282.57,1.9561,176.60
272,6.799754,,,0.00008160,8912896,50287.13,1.9561,177.24
273,6.731908,,,0.00008190,8945664,50291.27,1.9561,177.88
274,6.878924,,,0.00008220,8978432,50295.69,1.9561,178.51
275,6.904294,,,0.00008250,9011200,50299.97,1.9561,179.15
276,6.831332,,,0.00008280,9043968,50303.95,1.9561,179.79
277,6.530569,,,0.00008310,9076736,50308.16,1.9561,180.42
278,6.889593,,,0.00008340,9109504,50312.30,1.9561,181.06
279,6.811647,,,0.00008370,9142272,50316.42,1.9561,181.70
280,6.895126,,,0.00008400,9175040,50320.73,1.9561,182.33
281,6.836164,,,0.00008430,9207808,50324.51,1.9561,182.97
282,6.479261,,,0.00008460,9240576,50328.67,1.9561,183.60
283,6.753575,,,0.00008490,9273344,50332.89,1.9561,184.24
284,6.786455,,,0.00008520,9306112,50336.69,1.9561,184.88
285,6.654610,,,0.00008550,9338880,50340.62,1.9561,185.51
286,6.547510,,,0.00008580,9371648,50344.68,1.9561,186.15
287,6.867366,,,0.00008610,9404416,50348.47,1.9561,186.79
288,6.548225,,,0.00008640,9437184,50352.12,1.9561,187.42
289,6.690420,,,0.00008670,9469952,50355.99,1.9561,188.06
290,6.722452,,,0.00008700,9502720,50359.28,1.9561,188.70
291,6.677808,,,0.00008730,9535488,50363.17,1.9561,189.33
292,6.570288,,,0.00008760,9568256,50366.87,1.9561,189.97
293,6.822628,,,0.00008790,9601024,50370.70,1.9561,190.61
294,6.670713,,,0.00008820,9633792,50374.41,1.9561,191.24
295,6.758990,,,0.00008850,9666560,50378.04,1.9561,191.88
296,6.620793,,,0.00008880,9699328,50381.76,1.9561,192.52
297,6.526396,,,0.00008910,9732096,50385.48,1.9561,193.15
298,6.641567,,,0.00008940,9764864,50389.13,1.9561,193.79
299,6.785210,,,0.00008970,9797632,50392.67,1.9561,194.43
300,6.352547,,,0.00009000,9830400,50396.22,1.9561,195.06
301,6.784124,,,0.00009030,9863168,50399.70,1.9561,195.70
302,6.737305,,,0.00009060,9895936,50402.95,1.9561,196.34
303,6.711670,,,0.00009090,9928704,50406.51,1.9561,196.97
304,6.803190,,,0.00009120,9961472,50409.82,1.9561,197.61
305,6.568325,,,0.00009150,9994240,50413.17,1.9561,198.25
306,6.480280,,,0.00009180,10027008,50416.49,1.9561,198.88
307,6.431773,,,0.00009210,10059776,50419.92,1.9561,199.52
308,6.563832,,,0.00009240,10092544,50423.33,1.9561,200.16
309,6.521464,,,0.00009270,10125312,50426.52,1.9561,200.79
310,6.570071,,,0.00009300,10158080,50429.94,1.9561,201.43
311,6.761547,,,0.00009330,10190848,50433.42,1.9561,202.07
312,6.360564,,,0.00009360,10223616,50436.54,1.9561,202.70
313,6.565096,,,0.00009390,10256384,50439.61,1.9561,203.34
314,6.761033,,,0.00009420,10289152,50442.78,1.9561,203.98
315,6.657336,,,0.00009450,10321920,50445.58,1.9561,204.61
316,6.349181,,,0.00009480,10354688,50448.77,1.9561,205.25
317,6.582524,,,0.00009510,10387456,50451.95,1.9561,205.89
318,6.611688,,,0.00009540,10420224,50454.78,1.9561,206.53
319,6.463969,,,0.00009570,10452992,50457.91,1.9561,207.16
320,6.662017,,,0.00009600,10485760,50460.66,1.9561,207.80
321,6.533136,,,0.00009630,10518528,50463.65,1.9561,208.44
322,6.528214,,,0.00009660,10551296,50466.70,1.9561,209.07
323,6.507535,,,0.00009690,10584064,50469.70,1.9561,209.71
324,6.594462,,,0.00009720,10616832,50472.67,1.9561,210.35
325,6.593157,,,0.00009750,10649600,50475.79,1.9561,210.98
326,6.483302,,,0.00009780,10682368,50478.69,1.9561,211.62
327,6.650741,,,0.00009810,10715136,50481.69,1.9561,212.26
328,6.614000,,,0.00009840,10747904,50484.68,1.9561,212.89
329,6.609577,,,0.00009870,10780672,50487.36,1.9561,213.53
330,6.334982,,,0.00009900,10813440,50489.96,1.9561,214.17
331,6.407865,,,0.00009930,10846208,50492.96,1.9561,214.81
332,6.674977,,,0.00009960,10878976,50495.33,1.9561,215.45
333,6.744880,,,0.00009990,10911744,50498.09,1.9561,216.08
334,6.592110,,,0.00010020,10944512,50500.87,1.9561,216.72
335,6.389134,,,0.00010050,10977280,50503.54,1.9561,217.36
336,6.488280,,,0.00010080,11010048,50506.17,1.9561,217.99
337,6.388467,,,0.00010110,11042816,50509.12,1.9561,218.63
338,6.307707,,,0.00010140,11075584,50511.45,1.9561,219.27
339,6.317260,,,0.00010170,11108352,50514.28,1.9561,219.91
340,6.430684,,,0.00010200,11141120,50516.99,1.9561,220.54
