step,train_loss,val_loss,lr,tokens_seen,elapsed_sec
1,18.084572,9.032277,0.00000600,2048,0.30
2,18.049435,,0.00001200,4096,0.31
3,18.067245,,0.00001800,6144,0.33
4,18.051208,,0.00002400,8192,0.35
5,18.054672,,0.00003000,10240,0.36
6,18.055889,,0.00003600,12288,0.38
7,18.044731,,0.00004200,14336,0.40
8,18.016411,,0.00004800,16384,0.42
9,18.022247,,0.00005400,18432,0.43
10,17.983753,,0.00006000,20480,0.45
11,17.941441,,0.00006600,22528,0.46
12,17.974636,,0.00007200,24576,0.48
13,17.937378,,0.00007800,26624,0.50
14,17.897697,,0.00008400,28672,0.51
15,17.867874,,0.00009000,30720,0.53
16,17.792801,,0.00009600,32768,0.54
17,17.798965,,0.00010200,34816,0.55
18,17.769997,,0.00010800,36864,0.57
19,17.681190,,0.00011400,38912,0.58
20,17.620350,,0.00012000,40960,0.60
21,17.595325,,0.00012600,43008,0.61
22,17.545876,,0.00013200,45056,0.63
23,17.539551,,0.00013800,47104,0.64
24,17.468735,,0.00014400,49152,0.66
25,17.356506,,0.00015000,51200,0.67
26,17.335564,,0.00015600,53248,0.69
27,17.311466,,0.00016200,55296,0.70
28,17.289146,,0.00016800,57344,0.72
29,17.248547,,0.00017400,59392,0.74
30,17.136902,,0.00018000,61440,0.75
31,17.105862,,0.00018600,63488,0.77
32,17.063828,,0.00019200,65536,0.78
33,17.009346,,0.00019800,67584,0.80
34,17.065617,,0.00020400,69632,0.81
35,16.948071,,0.00021000,71680,0.83
36,16.887703,,0.00021600,73728,0.84
37,16.884983,,0.00022200,75776,0.86
38,16.832195,,0.00022800,77824,0.87
39,16.792366,,0.00023400,79872,0.89
40,16.736885,,0.00024000,81920,0.90
41,16.676758,,0.00024600,83968,0.92
42,16.721813,,0.00025200,86016,0.93
43,16.647808,,0.00025800,88064,0.95
44,16.515606,,0.00026400,90112,0.96
45,16.452927,,0.00027000,92160,0.98
46,16.449257,,0.00027600,94208,0.99
47,16.419037,,0.00028200,96256,1.01
48,16.311420,,0.00028800,98304,1.02
49,16.322239,,0.00029400,100352,1.04
50,16.284027,8.058331,0.00030000,102400,1.14
51,16.088970,,0.00030000,104448,1.16
52,16.141865,,0.00029999,106496,1.17
53,15.968441,,0.00029995,108544,1.19
54,16.093609,,0.00029989,110592,1.20
55,15.955997,,0.00029981,112640,1.22
56,15.950878,,0.00029970,114688,1.23
57,15.852543,,0.00029957,116736,1.25
58,15.876095,,0.00029942,118784,1.27
59,15.779366,,0.00029924,120832,1.28
60,15.852760,,0.00029904,122880,1.30
61,15.776276,,0.00029882,124928,1.31
62,15.784250,,0.00029857,126976,1.33
63,15.736767,,0.00029830,129024,1.34
64,15.675398,,0.00029800,131072,1.36
65,15.719387,,0.00029768,133120,1.38
66,15.553820,,0.00029734,135168,1.39
67,15.730625,,0.00029698,137216,1.41
68,15.573772,,0.00029659,139264,1.42
69,15.652132,,0.00029618,141312,1.44
70,15.582457,,0.00029574,143360,1.45
71,15.717052,,0.00029529,145408,1.47
72,15.439978,,0.00029481,147456,1.48
73,15.550539,,0.00029430,149504,1.50
74,15.523592,,0.00029378,151552,1.52
75,15.557758,,0.00029323,153600,1.53
76,15.569241,,0.00029266,155648,1.55
77,15.575691,,0.00029206,157696,1.56
78,15.632866,,0.00029145,159744,1.58
79,15.601271,,0.00029081,161792,1.59
80,15.563417,,0.00029015,163840,1.61
81,15.604622,,0.00028947,165888,1.62
82,15.642376,,0.00028876,167936,1.64
83,15.459209,,0.00028803,169984,1.65
84,15.467594,,0.00028729,172032,1.67
85,15.609545,,0.00028652,174080,1.68
86,15.526663,,0.00028572,176128,1.70
87,15.504120,,0.00028491,178176,1.71
88,15.478104,,0.00028408,180224,1.73
89,15.602713,,0.00028322,182272,1.74
90,15.496067,,0.00028234,184320,1.76
91,15.477917,,0.00028145,186368,1.77
92,15.473982,,0.00028053,188416,1.79
93,15.541227,,0.00027959,190464,1.80
94,15.412394,,0.00027863,192512,1.82
95,15.452446,,0.00027765,194560,1.83
96,15.464157,,0.00027665,196608,1.84
97,15.664726,,0.00027563,198656,1.86
98,15.697292,,0.00027459,200704,1.87
99,15.535759,,0.00027353,202752,1.89
