step,train_loss,val_loss,lr,tokens_seen,elapsed_sec
1,8.922129,4.429922,0.00000600,2048,0.28
2,8.837757,,0.00001200,4096,0.29
3,8.759346,,0.00001800,6144,0.30
4,8.590057,,0.00002400,8192,0.31
5,8.357859,,0.00003000,10240,0.32
6,8.126400,,0.00003600,12288,0.33
7,7.933407,,0.00004200,14336,0.34
8,7.719961,,0.00004800,16384,0.35
9,7.573145,,0.00005400,18432,0.36
10,7.407330,,0.00006000,20480,0.37
11,7.265648,,0.00006600,22528,0.38
12,7.238445,,0.00007200,24576,0.40
13,7.119242,,0.00007800,26624,0.41
14,7.016542,,0.00008400,28672,0.42
15,6.937733,,0.00009000,30720,0.43
16,6.882674,,0.00009600,32768,0.44
17,6.802446,,0.00010200,34816,0.44
18,6.766963,,0.00010800,36864,0.46
19,6.719027,,0.00011400,38912,0.47
20,6.671295,,0.00012000,40960,0.48
21,6.640683,,0.00012600,43008,0.49
22,6.615650,,0.00013200,45056,0.50
23,6.543596,,0.00013800,47104,0.51
24,6.565491,,0.00014400,49152,0.52
25,6.548487,,0.00015000,51200,0.53
26,6.451516,,0.00015600,53248,0.54
27,6.451305,,0.00016200,55296,0.55
28,6.402847,,0.00016800,57344,0.56
29,6.331500,,0.00017400,59392,0.57
30,6.304121,,0.00018000,61440,0.58
31,6.302527,,0.00018600,63488,0.59
32,6.343589,,0.00019200,65536,0.60
33,6.285894,,0.00019800,67584,0.61
34,6.287992,,0.00020400,69632,0.62
35,6.203740,,0.00021000,71680,0.63
36,6.125892,,0.00021600,73728,0.64
37,6.131778,,0.00022200,75776,0.65
38,6.128045,,0.00022800,77824,0.66
39,6.078161,,0.00023400,79872,0.67
40,6.084284,,0.00024000,81920,0.68
41,6.027083,,0.00024600,83968,0.69
42,5.867248,,0.00025200,86016,0.70
43,5.862000,,0.00025800,88064,0.71
44,5.820183,,0.00026400,90112,0.72
45,5.725819,,0.00027000,92160,0.73
46,5.856023,,0.00027600,94208,0.74
47,5.722708,,0.00028200,96256,0.75
48,5.738839,,0.00028800,98304,0.76
49,5.814164,,0.00029400,100352,0.77
50,5.596018,2.823058,0.00030000,102400,0.84
51,5.683653,,0.00030000,104448,0.85
52,5.724675,,0.00029999,106496,0.88
53,5.590511,,0.00029995,108544,0.90
54,5.610757,,0.00029989,110592,0.91
55,5.655443,,0.00029981,112640,0.93
56,5.574020,,0.00029970,114688,0.94
57,5.585235,,0.00029957,116736,0.95
58,5.552222,,0.00029942,118784,0.97
59,5.558556,,0.00029924,120832,0.98
60,5.642601,,0.00029904,122880,0.99
61,5.597473,,0.00029882,124928,1.00
62,5.524404,,0.00029857,126976,1.01
63,5.449574,,0.00029830,129024,1.02
64,5.511851,,0.00029800,131072,1.03
65,5.333617,,0.00029768,133120,1.04
66,5.540140,,0.00029734,135168,1.05
67,5.486483,,0.00029698,137216,1.06
68,5.468230,,0.00029659,139264,1.07
69,5.489990,,0.00029618,141312,1.08
70,5.440645,,0.00029574,143360,1.09
71,5.615268,,0.00029529,145408,1.10
72,5.464965,,0.00029481,147456,1.11
73,5.469706,,0.00029430,149504,1.12
74,5.433906,,0.00029378,151552,1.13
75,5.507768,,0.00029323,153600,1.14
76,5.409475,,0.00029266,155648,1.15
77,5.399759,,0.00029206,157696,1.16
78,5.329629,,0.00029145,159744,1.17
79,5.527694,,0.00029081,161792,1.19
80,5.359029,,0.00029015,163840,1.21
81,5.411296,,0.00028947,165888,1.23
82,5.433478,,0.00028876,167936,1.25
83,5.462777,,0.00028803,169984,1.27
84,5.402000,,0.00028729,172032,1.29
85,5.389405,,0.00028652,174080,1.30
86,5.371105,,0.00028572,176128,1.32
87,5.413239,,0.00028491,178176,1.33
88,5.278931,,0.00028408,180224,1.34
89,5.300872,,0.00028322,182272,1.35
90,5.425065,,0.00028234,184320,1.36
91,5.303189,,0.00028145,186368,1.38
92,5.432735,,0.00028053,188416,1.39
93,5.318020,,0.00027959,190464,1.39
94,5.368258,,0.00027863,192512,1.40
95,5.223026,,0.00027765,194560,1.41
96,5.351502,,0.00027665,196608,1.42
97,5.222564,,0.00027563,198656,1.43
98,5.293391,,0.00027459,200704,1.44
99,5.218181,,0.00027353,202752,1.45
100,5.257963,2.648555,0.00027245,204800,1.53
101,5.320333,,0.00027135,206848,1.54
102,5.278792,,0.00027024,208896,1.55
103,5.304910,,0.00026910,210944,1.56
104,5.260667,,0.00026794,212992,1.57
105,5.401667,,0.00026677,215040,1.59
106,5.325361,,0.00026558,217088,1.60
107,5.355502,,0.00026437,219136,1.61
108,5.235835,,0.00026314,221184,1.62
109,5.273477,,0.00026189,223232,1.63
110,5.256281,,0.00026063,225280,1.64
111,5.393226,,0.00025935,227328,1.65
112,5.145943,,0.00025805,229376,1.66
113,5.184557,,0.00025673,231424,1.67
114,5.298074,,0.00025540,233472,1.69
115,5.160998,,0.00025405,235520,1.69
116,5.258181,,0.00025268,237568,1.70
117,5.209476,,0.00025130,239616,1.71
118,5.420085,,0.00024990,241664,1.72
119,5.257633,,0.00024849,243712,1.73
120,5.021315,,0.00024706,245760,1.74
