step,train_loss,val_loss,lr,tokens_seen,elapsed_sec
1,19.487564,9.732716,0.00000600,2048,0.34
2,19.479530,,0.00001200,4096,0.36
3,19.427307,,0.00001800,6144,0.38
4,19.436043,,0.00002400,8192,0.40
5,19.435387,,0.00003000,10240,0.42
6,19.431587,,0.00003600,12288,0.44
7,19.391121,,0.00004200,14336,0.47
8,19.384995,,0.00004800,16384,0.49
9,19.288551,,0.00005400,18432,0.51
10,19.309334,,0.00006000,20480,0.53
11,19.254791,,0.00006600,22528,0.55
12,19.237350,,0.00007200,24576,0.57
13,19.143387,,0.00007800,26624,0.59
14,19.088058,,0.00008400,28672,0.61
15,19.005081,,0.00009000,30720,0.63
16,18.958721,,0.00009600,32768,0.65
17,18.851192,,0.00010200,34816,0.67
18,18.812874,,0.00010800,36864,0.69
19,18.783669,,0.00011400,38912,0.71
20,18.609619,,0.00012000,40960,0.73
21,18.561481,,0.00012600,43008,0.75
22,18.525013,,0.00013200,45056,0.77
23,18.437077,,0.00013800,47104,0.79
24,18.382820,,0.00014400,49152,0.81
25,18.299477,,0.00015000,51200,0.83
26,18.269520,,0.00015600,53248,0.85
27,18.197929,,0.00016200,55296,0.87
28,18.049221,,0.00016800,57344,0.89
29,18.024559,,0.00017400,59392,0.91
30,18.009018,,0.00018000,61440,0.93
31,17.896927,,0.00018600,63488,0.95
32,17.869339,,0.00019200,65536,0.97
33,17.727009,,0.00019800,67584,0.99
34,17.726337,,0.00020400,69632,1.01
35,17.622314,,0.00021000,71680,1.03
36,17.513035,,0.00021600,73728,1.05
37,17.448448,,0.00022200,75776,1.07
38,17.369434,,0.00022800,77824,1.09
39,17.216484,,0.00023400,79872,1.11
40,17.235043,,0.00024000,81920,1.13
41,17.122581,,0.00024600,83968,1.15
42,17.065666,,0.00025200,86016,1.17
43,17.005054,,0.00025800,88064,1.19
44,16.776482,,0.00026400,90112,1.21
45,16.785610,,0.00027000,92160,1.23
46,16.757526,,0.00027600,94208,1.26
47,16.617332,,0.00028200,96256,1.28
48,16.487446,,0.00028800,98304,1.30
49,16.453888,,0.00029400,100352,1.32
50,16.252449,8.121556,0.00030000,102400,1.46
51,16.224236,,0.00030000,104448,1.48
